,prompt_type,valid_prompt_completions,argpair_id,p1,p2,c1,c2,domain,prompt,is_flipped
0,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Bicycles', 'Jeeps', 'Airplanes', 'Zeppelins', 'Jeeps']","['Airplanes', 'Bicycles']","['Airplanes', 'Zeppelins']",Jeeps,Jeeps,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Bicycles have property P.
Claim - Jeeps have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Zeppelins have property P.
Claim - Jeeps have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
1,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Bicycles', 'Jeeps', 'Airplanes', 'Zeppelins', 'Jeeps']","['Airplanes', 'Zeppelins']","['Airplanes', 'Bicycles']",Jeeps,Jeeps,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Zeppelins have property P.
Claim - Jeeps have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Bicycles have property P.
Claim - Jeeps have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
2,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Boats', 'Skateboards', 'All vehicles', 'Airplanes', 'Boats', 'All vehicles']","['Airplanes', 'Boats', 'Skateboards']","['Airplanes', 'Boats']",All vehicles,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Boats have property P.
Fact - Skateboards have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Boats have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
3,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Boats', 'Skateboards', 'All vehicles', 'Airplanes', 'Boats', 'All vehicles']","['Airplanes', 'Boats']","['Airplanes', 'Boats', 'Skateboards']",All vehicles,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Boats have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Boats have property P.
Fact - Skateboards have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
4,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans', 'All vehicles', 'Airplanes', 'Rockets', 'All vehicles']","['Airplanes', 'Caravans']","['Airplanes', 'Rockets']",All vehicles,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
5,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans', 'All vehicles', 'Airplanes', 'Rockets', 'All vehicles']","['Airplanes', 'Rockets']","['Airplanes', 'Caravans']",All vehicles,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
6,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans', 'Carts', 'Rockets', 'Airplanes', 'Caravans', 'Rockets']","['Airplanes', 'Caravans', 'Carts']","['Airplanes', 'Caravans']",Rockets,Rockets,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Fact - Carts have property P.
Claim - Rockets have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - Rockets have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
7,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans', 'Carts', 'Rockets', 'Airplanes', 'Caravans', 'Rockets']","['Airplanes', 'Caravans']","['Airplanes', 'Caravans', 'Carts']",Rockets,Rockets,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - Rockets have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Fact - Carts have property P.
Claim - Rockets have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
8,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Rockets', 'All vehicles', 'Airplanes', 'Rockets', 'All things']","['Airplanes', 'Rockets']","['Airplanes', 'Rockets']",All vehicles,All things,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All things have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
9,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Rockets', 'All vehicles', 'Airplanes', 'Rockets', 'All things']","['Airplanes', 'Rockets']","['Airplanes', 'Rockets']",All things,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All things have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
