,conclusion_type,is_single_premise,parent_domain,llm_reasoner,tutorial_prompt
0,General,False,living things,command-cohere-completion,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Now that you've practiced you're ready to continue on to the main trials for this section.

"
1,General,False,objects,command-cohere-completion,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Now that you've practiced you're ready to continue on to the main trials for this section.

"
2,General,False,living things,gpt-3.5-turbo-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: 100. If both lemons and limes have property P, and they are both fruits, then it is very likely that all fruits have property P.'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: It is impossible to determine the likelihood of the claim being true based on the given facts alone. Just because bananas and watermelons have property P, it does not necessarily mean that all fruits have property P. There could be other fruits that do not have property P. Therefore, I would give a likelihood of 50, indicating that it is equally likely that the claim is true or false.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
3,General,False,objects,gpt-3.5-turbo-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: 100. If both lemons and limes have property P, and they are both fruits, then it is very likely that all fruits have property P.'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: It is impossible to determine the likelihood of the claim being true based on the given facts alone. Just because bananas and watermelons have property P, it does not necessarily mean that all fruits have property P. There could be other fruits that do not have property P. Therefore, I would give a likelihood of 50, indicating that it is equally likely that the claim is true or false.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
4,General,False,living things,gpt-3.5-turbo-0613-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the facts presented, it is very likely that the claim is true. I would rate it at 100. Since both lemons and limes are fruits and they both have property P, it suggests that all fruits have property P.'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the facts presented, it is likely that the claim is true. I would rate it at 80. Since both bananas and watermelons are fruits and they both have property P, it suggests that there is a high likelihood that all fruits have property P. However, there is still a possibility that there may be some fruits that do not have property P, so I cannot assign a certainty of 100.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
5,General,False,objects,gpt-3.5-turbo-0613-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the facts presented, it is very likely that the claim is true. I would rate it as 100. Since both lemons and limes are fruits and they both have property P, it suggests that all fruits have property P.'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the facts presented, it is likely that the claim is true. I would rate it as 80. Since both bananas and watermelons are fruits and they both have property P, it suggests that there is a high likelihood that all fruits have property P. However, there is still a possibility that there may be some fruits that do not have property P, so I cannot assign a certainty of 100.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
6,General,False,living things,gpt-4-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
7,General,False,objects,gpt-4-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
8,General,False,living things,gpt-4-0314-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
9,General,False,objects,gpt-4-0314-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '65'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
