,prompt_generator,phenomenon,domain,rating_type,w_statistic,pvalue,significant
0,S1-C1-A1-Q1-O1,Asymmetry,Birds,gpt3_rating,87.0,0.9654491543769836,False
1,S1-C1-A1-Q1-O1,Asymmetry,Birds,gpt4_rating,175.0,0.24539929628372192,False
2,S1-C1-A1-Q1-O1,Asymmetry,Birds,human_rating,215.5,0.0018993916078831512,True
3,S1-C1-A1-Q1-O1,Asymmetry,Mammals,gpt3_rating,148.0,0.527946412563324,False
4,S1-C1-A1-Q1-O1,Asymmetry,Mammals,gpt4_rating,200.0,0.07999265193939209,False
5,S1-C1-A1-Q1-O1,Asymmetry,Mammals,human_rating,145.0,0.4156285556139694,False
6,S1-C1-A1-Q1-O1,Asymmetry,Vehicles,gpt3_rating,261.0,0.00042313337326049805,True
7,S1-C1-A1-Q1-O1,Asymmetry,Vehicles,gpt4_rating,125.0,0.76341712474823,False
8,S1-C1-A1-Q1-O1,Asymmetry,Vehicles,human_rating,206.5,0.004663602494510512,True
9,S1-C1-A1-Q1-O1,Diversity (General),Birds,gpt3_rating,201.0,0.07575047016143799,False
10,S1-C1-A1-Q1-O1,Diversity (General),Birds,gpt4_rating,150.0,0.5055936574935913,False
11,S1-C1-A1-Q1-O1,Diversity (General),Birds,human_rating,150.0,0.5055936574935913,False
12,S1-C1-A1-Q1-O1,Diversity (General),Mammals,gpt3_rating,95.0,0.9430193901062012,False
13,S1-C1-A1-Q1-O1,Diversity (General),Mammals,gpt4_rating,231.0,0.009720981121063232,True
14,S1-C1-A1-Q1-O1,Diversity (General),Mammals,human_rating,86.0,0.9676753282546997,False
15,S1-C1-A1-Q1-O1,Diversity (General),Vehicles,gpt3_rating,98.0,0.9322359561920166,False
16,S1-C1-A1-Q1-O1,Diversity (General),Vehicles,gpt4_rating,55.0,0.9975946545600891,False
17,S1-C1-A1-Q1-O1,Diversity (General),Vehicles,human_rating,58.5,0.9923222003427156,False
18,S1-C1-A1-Q1-O1,Diversity (Specific),Birds,gpt3_rating,171.0,0.28229445219039917,False
19,S1-C1-A1-Q1-O1,Diversity (Specific),Birds,gpt4_rating,175.0,0.24539929628372192,False
20,S1-C1-A1-Q1-O1,Diversity (Specific),Birds,human_rating,112.0,0.7855865274413147,False
21,S1-C1-A1-Q1-O1,Diversity (Specific),Mammals,gpt3_rating,164.0,0.352378249168396,False
22,S1-C1-A1-Q1-O1,Diversity (Specific),Mammals,gpt4_rating,150.0,0.5055936574935913,False
23,S1-C1-A1-Q1-O1,Diversity (Specific),Mammals,human_rating,37.5,0.9997162222862244,False
