,argument_id,response
0,"(('Airplanes', 'Buses'), 'All vehicles')",40
1,"(('Airplanes', 'Helicopters'), 'All vehicles')",40
2,"(('Airplanes', 'Taxis'), 'All vehicles')",40
3,"(('Airplanes', 'Trams'), 'Trains')",75
4,"(('Airplanes', 'Zeppelins'), 'All vehicles')",40
5,"(('Airplanes',), 'All vehicles')",40
6,"(('Airplanes',), 'Bicycles')",60
7,"(('Airplanes',), 'Helicopters')",80
8,"(('Airplanes',), 'Jeeps')",50
9,"(('Airplanes',), 'Skateboards')",40
10,"(('Airplanes',), 'Tractors')",40
11,"(('Airplanes',), 'Trains')",60
12,"(('Beavers', 'Camels'), 'Tigers')",50
13,"(('Beavers', 'Cats'), 'All mammals')",40
14,"(('Beavers', 'Hedgehogs'), 'Elephants')",50
15,"(('Beavers', 'Horses'), 'Tigers')",50
16,"(('Beavers', 'Llamas'), 'Dogs')",50
17,"(('Beavers', 'Mice'), 'All mammals')",40
18,"(('Beavers', 'Mice'), 'Giraffes')",50
19,"(('Beavers', 'Mice'), 'Hamsters')",70
20,"(('Beavers', 'Rabbits'), 'All mammals')",40
21,"(('Beavers', 'Zebras'), 'Horses')",50
22,"(('Beavers',), 'All mammals')",30
23,"(('Beavers',), 'Dogs')",60
24,"(('Beavers',), 'Donkeys')",40
25,"(('Beavers',), 'Elephants')",50
26,"(('Beavers',), 'Giraffes')",40
27,"(('Beavers',), 'Hamsters')",60
28,"(('Beavers',), 'Horses')",50
29,"(('Beavers',), 'Tigers')",50
30,"(('Bicycles', 'Airplanes'), 'Skateboards')",50
31,"(('Bicycles', 'Carts'), 'Carriages')",75
32,"(('Bicycles', 'Mopeds'), 'All vehicles')",40
33,"(('Bicycles', 'Mopeds'), 'Rockets')",40
34,"(('Bicycles', 'Motorbikes'), 'All vehicles')",40
35,"(('Bicycles', 'Sleds'), 'All vehicles')",40
36,"(('Bicycles', 'Submarines'), 'All vehicles')",40
37,"(('Bicycles', 'Tractors'), 'All vehicles')",40
38,"(('Bicycles', 'Trains'), 'All vehicles')",40
39,"(('Bicycles', 'Trains'), 'Trams')",75
40,"(('Bicycles', 'Trams'), 'All vehicles')",40
41,"(('Bicycles',), 'All vehicles')",40
42,"(('Bicycles',), 'Boats')",50
43,"(('Bicycles',), 'Buses')",60
44,"(('Bicycles',), 'Carriages')",70
45,"(('Bicycles',), 'Rockets')",40
46,"(('Bicycles',), 'Skateboards')",70
47,"(('Bicycles',), 'Submarines')",40
48,"(('Bicycles',), 'Trams')",60
49,"(('Blackbirds', 'Crows'), 'Pelicans')",50
50,"(('Blackbirds', 'Doves'), 'All birds')",40
51,"(('Blackbirds', 'Ducks'), 'Seagulls')",70
52,"(('Blackbirds', 'Eagles'), 'Falcons')",75
53,"(('Blackbirds', 'Parrots'), 'Ostriches')",50
54,"(('Blackbirds', 'Robins'), 'Roosters')",60
55,"(('Blackbirds', 'Storks'), 'Canaries')",70
56,"(('Blackbirds',), 'All birds')",30
57,"(('Blackbirds',), 'Canaries')",70
58,"(('Blackbirds',), 'Doves')",70
59,"(('Blackbirds',), 'Falcons')",70
60,"(('Blackbirds',), 'Magpies')",70
61,"(('Blackbirds',), 'Ostriches')",60
62,"(('Blackbirds',), 'Pelicans')",60
63,"(('Blackbirds',), 'Roosters')",70
64,"(('Blackbirds',), 'Seagulls')",70
65,"(('Blackbirds',), 'Sparrows')",70
66,"(('Blackbirds',), 'Swallows')",70
67,"(('Boats', 'Bicycles'), 'Buses')",50
68,"(('Boats', 'Hovercraft'), 'All vehicles')",40
69,"(('Boats', 'Jeeps'), 'Cars')",80
70,"(('Boats', 'Skateboards'), 'Mopeds')",50
71,"(('Boats', 'Submarines'), 'Vans')",50
72,"(('Boats', 'Trams'), 'All vehicles')",40
73,"(('Boats', 'Trams'), 'Buses')",70
74,"(('Boats',), 'All vehicles')",30
75,"(('Boats',), 'Buses')",50
76,"(('Boats',), 'Caravans')",60
77,"(('Boats',), 'Cars')",70
78,"(('Boats',), 'Carts')",60
79,"(('Boats',), 'Hovercraft')",70
80,"(('Boats',), 'Mopeds')",40
81,"(('Boats',), 'Skateboards')",40
82,"(('Boats',), 'Tractors')",50
83,"(('Boats',), 'Trams')",50
84,"(('Boats',), 'Vans')",50
85,"(('Buses', 'Cars'), 'Zeppelins')",50
86,"(('Buses', 'Mopeds'), 'Cars')",75
87,"(('Buses', 'Rockets'), 'Airplanes')",75
88,"(('Buses', 'Sleds'), 'All vehicles')",40
89,"(('Buses', 'Trucks'), 'Zeppelins')",40
90,"(('Buses',), 'Airplanes')",60
91,"(('Buses',), 'All vehicles')",40
92,"(('Buses',), 'Boats')",60
93,"(('Buses',), 'Carriages')",70
94,"(('Buses',), 'Cars')",80
95,"(('Buses',), 'Trains')",70
96,"(('Buses',), 'Vans')",70
97,"(('Buses',), 'Zeppelins')",40
98,"(('Camels', 'Beavers'), 'Donkeys')",50
99,"(('Camels', 'Beavers'), 'Elephants')",50
100,"(('Camels', 'Cows'), 'All mammals')",40
101,"(('Camels', 'Donkeys'), 'All mammals')",40
102,"(('Camels', 'Giraffes'), 'All mammals')",40
103,"(('Camels', 'Giraffes'), 'Cats')",40
104,"(('Camels', 'Horses'), 'Cats')",50
