,argument,domain,conclusion_type,is_single_premise,prompt_generator,model,probabilities,strength_rating,strength_ranking
0,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.6999984207588941, 0.2997911840050544)",0.4002072367538397,29.0
1,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.002600371394805485, 0.9972491066604805)",-0.994648735265675,71.0
2,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.032244003210238036, 0.9675931167563687)",-0.9353491135461308,51.0
3,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998761894951532, 5.677753011880861e-06)",0.9998705117421414,35.0
4,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.00013259263828054152, 0.9997598986389464)",-0.9996273060006658,89.0
5,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(4.262460424382869e-06, 0.9999139784450661)",-0.9999097159846416,18.0
6,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.012341089182695605, 0.9874373374175099)",-0.9750962482348144,134.0
7,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998906120732955, 1.5746270726485996e-05)",0.999874865802569,6.0
8,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0001813160349179442, 0.9996455177136974)",-0.9994642016787796,158.0
9,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.00033174830302080195, 0.9995276802780949)",-0.999195931975074,154.0
10,"(('Airplanes',), 'Tractors')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.8800471089895952, 0.11980953565691657)",0.7602375733326786,101.0
11,"(('Airplanes',), 'Trains')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.990483561643425, 0.009381332204337255)",0.9811022294390878,72.0
12,"(('All animals', 'All organisms'), 'All birds')",Birds,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998268359646226, 4.642762079890388e-05)",0.9997804083438238,3.0
13,"(('All animals', 'All organisms'), 'All mammals')",Mammals,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998364902691734, 2.3441514114808313e-05)",0.9998130487550586,7.0
14,"(('All animals',), 'All birds')",Birds,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998027555852379, 0.00011214543525123228)",0.9996906101499866,3.0
15,"(('All animals',), 'All mammals')",Mammals,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998906120732955, 3.183755468600581e-05)",0.9998587745186096,3.0
16,"(('All living things',), 'All birds')",Birds,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9999046772635007, 4.5384042567489326e-05)",0.9998592932209333,2.0
17,"(('All living things',), 'All mammals')",Mammals,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.999903844743213, 3.861379352958836e-05)",0.9998652309496836,2.0
