,domain,c1,c2,prompt_name,prompt
0,Mammals,Beavers,Camels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and camels similar to one another?
A - Yes
B - No
Answer:"
1,Mammals,Beavers,Squirrels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and squirrels similar to one another?
A - Yes
B - No
Answer:"
2,Mammals,Beavers,Hedgehogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and hedgehogs similar to one another?
A - Yes
B - No
Answer:"
3,Mammals,Beavers,Donkeys,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and donkeys similar to one another?
A - Yes
B - No
Answer:"
4,Mammals,Beavers,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and giraffes similar to one another?
A - Yes
B - No
Answer:"
5,Mammals,Beavers,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and hamsters similar to one another?
A - Yes
B - No
Answer:"
6,Mammals,Beavers,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and deer similar to one another?
A - Yes
B - No
Answer:"
7,Mammals,Beavers,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and dogs similar to one another?
A - Yes
B - No
Answer:"
8,Mammals,Beavers,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and cats similar to one another?
A - Yes
B - No
Answer:"
9,Mammals,Beavers,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and cows similar to one another?
A - Yes
B - No
Answer:"
10,Mammals,Beavers,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and rabbits similar to one another?
A - Yes
B - No
Answer:"
