,gpt3_model,prompt_type,valid_prompt_completions,p1,p2,c1,c2,domain,prompt,is_flipped,argpair_id,gpt3_completion,gpt3_completion_probabilities,gpt3_argument_pair_rating
0,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Bicycles']","['Airplanes', 'Zeppelins']",Jeeps,Jeeps,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Bicycles have property P.
Claim - Jeeps have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Zeppelins have property P.
Claim - Jeeps have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Bicycles', 'Jeeps', 'Airplanes', 'Zeppelins', 'Jeeps']","{
  ""finish_reason"": ""length"",
  ""index"": 0,
  ""logprobs"": {
    ""text_offset"": [
      851
    ],
    ""token_logprobs"": [
      -0.05336059
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" A"": -0.05336059,
        "" B"": -3.8428328,
        "" C"": -4.170857,
        "" D"": -5.453074,
        "" E"": -4.6574254
      }
    ]
  },
  ""text"": "" A""
}","[0.9480380977828128, 0.02143280043027466, 0.015439023209811172, 0.004283118128263354, 0.00949086615728416, 0]",0.9596012230798973
1,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Zeppelins']","['Airplanes', 'Bicycles']",Jeeps,Jeeps,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Zeppelins have property P.
Claim - Jeeps have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Bicycles have property P.
Claim - Jeeps have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Bicycles', 'Jeeps', 'Airplanes', 'Zeppelins', 'Jeeps']","{
  ""finish_reason"": ""length"",
  ""index"": 1,
  ""logprobs"": {
    ""text_offset"": [
      851
    ],
    ""token_logprobs"": [
      -0.027227543
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" A"": -0.027227543,
        "" B"": -4.454115,
        "" C"": -4.9642143,
        "" D"": -7.318666,
        "" E"": -5.031025
      }
    ]
  },
  ""text"": "" A""
}","[0.9731397851837322, 0.011630608409725254, 0.006983435439366457, 0.0006630461250414764, 0.006532111723459887, 0]",-0.9785905214703946
2,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Boats', 'Skateboards']","['Airplanes', 'Boats']",All vehicles,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Boats have property P.
Fact - Skateboards have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Boats have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Boats', 'Skateboards', 'All vehicles', 'Airplanes', 'Boats', 'All vehicles']","{
  ""finish_reason"": ""length"",
  ""index"": 2,
  ""logprobs"": {
    ""text_offset"": [
      894
    ],
    ""token_logprobs"": [
      -0.0005058838
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" "": -10.041777,
        "" A"": -0.0005058838,
        "" C"": -8.157244,
        "" Option"": -10.3127,
        ""A"": -9.210583
      }
    ]
  },
  ""text"": "" A""
}","[0.9994942441376348, 0, 0.0002866513181945536, 0, 0, 0]",0.999588839072639
3,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Boats']","['Airplanes', 'Boats', 'Skateboards']",All vehicles,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Boats have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Boats have property P.
Fact - Skateboards have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Boats', 'Skateboards', 'All vehicles', 'Airplanes', 'Boats', 'All vehicles']","{
  ""finish_reason"": ""length"",
  ""index"": 3,
  ""logprobs"": {
    ""text_offset"": [
      894
    ],
    ""token_logprobs"": [
      -0.8419786
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        "" A"": -5.898049,
        "" B"": -4.589068,
        "" D"": -2.0292325,
        "" E"": -0.8419786,
        "" F"": -0.8688894
      }
    ]
  },
  ""text"": "" E""
}","[0.00274479469271484, 0.010162325248252174, 0, 0.13143635985287738, 0.4308571854730542, 0.41941709530810917]",0.7377049071152133
4,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans']","['Airplanes', 'Rockets']",All vehicles,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Caravans', 'All vehicles', 'Airplanes', 'Rockets', 'All vehicles']","{
  ""finish_reason"": ""length"",
  ""index"": 4,
  ""logprobs"": {
    ""text_offset"": [
      863
    ],
    ""token_logprobs"": [
      -0.11540212
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" A"": -0.11540212,
        "" B"": -3.505581,
        "" C"": -2.9193647,
        "" D"": -5.7004485,
        "" E"": -3.9075143
      }
    ]
  },
  ""text"": "" A""
}","[0.8910077798105577, 0.030029321239187605, 0.05396796225818549, 0.0033444651284375315, 0.020090377698670246, 0]",0.914273236600116
5,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Rockets']","['Airplanes', 'Caravans']",All vehicles,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Caravans', 'All vehicles', 'Airplanes', 'Rockets', 'All vehicles']","{
  ""finish_reason"": ""length"",
  ""index"": 5,
  ""logprobs"": {
    ""text_offset"": [
      863
    ],
    ""token_logprobs"": [
      -0.057109546
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" A"": -0.057109546,
        "" B"": -4.282743,
        "" C"": -4.0845675,
        "" E"": -3.834337,
        "" F"": -6.649701
      }
    ]
  },
  ""text"": "" A""
}","[0.944490598532112, 0.01380474369322762, 0.016830416897381087, 0, 0.021615664906270336, 0.0012944090759245829]",-0.943595019031715
6,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans', 'Carts']","['Airplanes', 'Caravans']",Rockets,Rockets,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Fact - Carts have property P.
Claim - Rockets have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - Rockets have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Caravans', 'Carts', 'Rockets', 'Airplanes', 'Caravans', 'Rockets']","{
  ""finish_reason"": ""length"",
  ""index"": 6,
  ""logprobs"": {
    ""text_offset"": [
      884
    ],
    ""token_logprobs"": [
      -0.0010915541
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" "": -9.649023,
        "" A"": -0.0010915541,
        "" C"": -7.1673813,
        "" Option"": -9.269287,
        ""A"": -9.033428
      }
    ]
  },
  ""text"": "" A""
}","[0.998909041428473, 0, 0.0007713399968172677, 0, 0, 0]",0.9991635836274227
7,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans']","['Airplanes', 'Caravans', 'Carts']",Rockets,Rockets,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - Rockets have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Fact - Carts have property P.
Claim - Rockets have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Caravans', 'Carts', 'Rockets', 'Airplanes', 'Caravans', 'Rockets']","{
  ""finish_reason"": ""length"",
  ""index"": 7,
  ""logprobs"": {
    ""text_offset"": [
      884
    ],
    ""token_logprobs"": [
      -0.75444204
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        "" B"": -3.2595289,
        "" C"": -4.749096,
        "" D"": -1.012083,
        "" E"": -0.75444204,
        "" F"": -2.195568
      }
    ]
  },
  ""text"": "" E""
}","[0, 0.03840648705239575, 0.00865951987180163, 0.36346110104159396, 0.47027293502844425, 0.11129532780204947]",0.513411705252273
8,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Rockets']","['Airplanes', 'Rockets']",All vehicles,All things,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All things have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Rockets', 'All vehicles', 'Airplanes', 'Rockets', 'All things']","{
  ""finish_reason"": ""length"",
  ""index"": 8,
  ""logprobs"": {
    ""text_offset"": [
      860
    ],
    ""token_logprobs"": [
      -0.023079174
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" "": -9.13919,
        "" A"": -0.023079174,
        "" B"": -6.4804783,
        "" C"": -3.8756943,
        ""A"": -8.638033
      }
    ]
  },
  ""text"": "" A""
}","[0.9771851130563018, 0.0015330772330941918, 0.020739933138096647, 0, 0, 0]",0.9850411219657159
9,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Rockets']","['Airplanes', 'Rockets']",All things,All vehicles,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All things have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Rockets', 'All vehicles', 'Airplanes', 'Rockets', 'All things']","{
  ""finish_reason"": ""length"",
  ""index"": 9,
  ""logprobs"": {
    ""text_offset"": [
      860
    ],
    ""token_logprobs"": [
      -0.8226078
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" A"": -0.8226078,
        "" B"": -2.54383,
        "" C"": -1.8286445,
        "" D"": -1.8750352,
        "" E"": -2.3205574
      }
    ]
  },
  ""text"": "" A""
}","[0.43928459314075335, 0.07856491918337198, 0.16063115580326204, 0.1533495688451009, 0.09821882317145356, 0]",-0.4287159402048127
