,index,argpair_id,phenomenon,domain,p1,p2,c1,c2,a1_win_score,prompt1_probs,prompt2_probs,prompt1,prompt2
0,0,00851613e2c71683d1bdcd20cee39a2bf03f38ae94522e43eac1592b25e08b99,Diversity (Specific),Vehicles,"['Mopeds', 'Airplanes']","['Mopeds', 'Bicycles']",Vans,Vans,-0.003281188473081731,"[0.9578220555850577, 0.01668892421910918, 0.012681107392411935, 0.0009005451101899622, 0.009584740273833195, 0]","[0.9503007837743768, 0.03209432678934999, 0.012379721598294403, 0.0012360155983524696, 0.0033328529501391985, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Mopeds have property P.
Fact - Airplanes have property P.
Claim - Vans have property P.

Argument B:
Fact - Mopeds have property P.
Fact - Bicycles have property P.
Claim - Vans have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Mopeds have property P.
Fact - Bicycles have property P.
Claim - Vans have property P.

Argument B:
Fact - Mopeds have property P.
Fact - Airplanes have property P.
Claim - Vans have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
1,1,00d5171318c2fb02cc230a032fdf8b3ee0d30929135b6029a8ce766b0895f5d2,Similarity,Vehicles,['Mopeds'],['Submarines'],Motorbikes,Motorbikes,0.5329210033043819,"[0.8715764286913472, 0.031562839991394434, 0.04744789582545447, 0.015154299377394325, 0.02952013517976554, 0]","[0.23070701657092013, 0.057013990152011876, 0, 0.08916392049280436, 0.5179139863643856, 0.07934943122200969]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Mopeds have property P.
Claim - Motorbikes have property P.

Argument B:
Fact - Submarines have property P.
Claim - Motorbikes have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Submarines have property P.
Claim - Motorbikes have property P.

Argument B:
Fact - Mopeds have property P.
Claim - Motorbikes have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
2,2,00e274a2046e391428fbc8b9e2cedc32cefb18ff51cd933341fb15a2a6d352f7,Asymmetry,Birds,['Crows'],['Penguins'],Penguins,Crows,-0.5975406977811374,"[0.35839412152888983, 0, 0, 0, 0.012389524026738766, 0.6228909348291212]","[0.9592820220789562, 0, 0, 0, 0.00389443370684407, 0.03430419942804317]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Crows have property P.
Claim - Penguins have property P.

Argument B:
Fact - Penguins have property P.
Claim - Crows have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Penguins have property P.
Claim - Crows have property P.

Argument B:
Fact - Crows have property P.
Claim - Penguins have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
3,3,010119761b3a793bedcf3206ed07512ec995376b996f57e8b0aed9719c57cbea,Diversity (Specific),Vehicles,"['Boats', 'Helicopters']","['Boats', 'Submarines']",Motorbikes,Motorbikes,0.10238392224714743,"[0.926917540914587, 0.014716509796670153, 0.029708324091541265, 0.006882665326156889, 0.020035287201660368, 0]","[0.7638129573587781, 0.03416119254852584, 0.05004412313476384, 0.054369964541219166, 0.08903037280469601, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Boats have property P.
Fact - Helicopters have property P.
Claim - Motorbikes have property P.

Argument B:
Fact - Boats have property P.
Fact - Submarines have property P.
Claim - Motorbikes have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Boats have property P.
Fact - Submarines have property P.
Claim - Motorbikes have property P.

Argument B:
Fact - Boats have property P.
Fact - Helicopters have property P.
Claim - Motorbikes have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
4,4,0145eb8fb9031a465a1e48ccc5ffd03b2f3e4c32dca534f87bdd3079c2394f9f,Typicality,Vehicles,['Jeeps'],['Rockets'],All vehicles,All vehicles,0.024282408791402477,"[0.9113448712202388, 0.012742518040208133, 0.0657094518542211, 0.003430236739238228, 0.0062340504808733955, 0]","[0.898327776536442, 0.007837244290240068, 0.04309285814048609, 0.006363231074832105, 0.042414168916859514, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Jeeps have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Rockets have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Jeeps have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
5,5,0179d4fd8e7b96e51069e8bf93f5d2e12a290e4c634fb8ccf0362702282480bf,Monotonicity (Specific),Vehicles,"['Cars', 'Mopeds', 'Sleds']","['Cars', 'Mopeds']",Zeppelins,Zeppelins,0.7143337172832287,"[0.9983215194267637, 0.00022823540125204307, 0.0011389460064347736, 0, 0, 0]","[0, 0.06983613568167546, 0.024906120562347096, 0.5047101877932723, 0.19043379073948227, 0.1918896330683861]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Cars have property P.
Fact - Mopeds have property P.
Fact - Sleds have property P.
Claim - Zeppelins have property P.

Argument B:
Fact - Cars have property P.
Fact - Mopeds have property P.
Claim - Zeppelins have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Cars have property P.
Fact - Mopeds have property P.
Claim - Zeppelins have property P.

Argument B:
Fact - Cars have property P.
Fact - Mopeds have property P.
Fact - Sleds have property P.
Claim - Zeppelins have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
6,6,018dfeca16115c9a08e6184d05b2e74b1411607407733bfa2040a59383527479,Diversity (Specific),Mammals,"['Horses', 'Hamsters']","['Horses', 'Cows']",Dogs,Dogs,-0.12179072935008911,"[0.8303686999660604, 0.00880937837982129, 0.00894363654620562, 0, 0.08666043006608173, 0.05807473868200087]","[0.9753144501559112, 0.003803513629969054, 0.001853811294352693, 0, 0.016653637798899088, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Horses have property P.
Fact - Hamsters have property P.
Claim - Dogs have property P.

Argument B:
Fact - Horses have property P.
Fact - Cows have property P.
Claim - Dogs have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Horses have property P.
Fact - Cows have property P.
Claim - Dogs have property P.

Argument B:
Fact - Horses have property P.
Fact - Hamsters have property P.
Claim - Dogs have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
7,7,0314938e5416dcdcebeeb6cbc02836da835b6c5756b4c8a75ffe0b23c36c1410,Nonmonotonicity (Specific),Vehicles,['Sleds'],"['Sleds', 'Spanners']",Zeppelins,Zeppelins,-0.5224598796935739,"[0, 0.2266435635929622, 0.06133736981534975, 0.5736256345828389, 0.05585800127921969, 0.0442669380490755]","[0.9168350985460946, 0.0011188554900929321, 0.08136132025910754, 0, 0.00016153600483406752, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Sleds have property P.
Claim - Zeppelins have property P.

Argument B:
Fact - Sleds have property P.
Fact - Spanners have property P.
Claim - Zeppelins have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Sleds have property P.
Fact - Spanners have property P.
Claim - Zeppelins have property P.

Argument B:
Fact - Sleds have property P.
Claim - Zeppelins have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
8,8,03aa8c4d0ea19561e973323dd9317412cde9d66e753ffd4d2ee2372a98d16278,Asymmetry,Mammals,['Donkeys'],['Beavers'],Beavers,Donkeys,0.3952973816526205,"[0.6243229727363443, 0.001328165383385456, 0, 0, 0.04410658446845066, 0.3243958985526691]","[0.23289557542921885, 0.0016504405940796442, 0, 0.001636197216637474, 0.024290158759182896, 0.7363148620764692]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Donkeys have property P.
Claim - Beavers have property P.

Argument B:
Fact - Beavers have property P.
Claim - Donkeys have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Claim - Donkeys have property P.

Argument B:
Fact - Donkeys have property P.
Claim - Beavers have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
9,9,03c177a2732597e93d26f92328ad2fd45f6f7d915befcb89bd2ed3e6137a652b,Nonmonotonicity (Specific),Birds,['Owls'],"['Owls', 'Bees']",Canaries,Canaries,-0.736175758240995,"[0.009820283376055403, 0.04852130495840136, 0, 0.5358379477025664, 0.1637701923513125, 0.233528792762453]","[0.9937173280381075, 0.0004012587808584973, 0.005363817699848233, 0, 0, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Owls have property P.
Claim - Canaries have property P.

Argument B:
Fact - Owls have property P.
Fact - Bees have property P.
Claim - Canaries have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Owls have property P.
Fact - Bees have property P.
Claim - Canaries have property P.

Argument B:
Fact - Owls have property P.
Claim - Canaries have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
