,prompt_type,argpair_id,p1,p2,c1,c2,domain,prompt,is_flipped
0,experiment_1_chatprompt,"['Airplanes', 'Bicycles', 'Jeeps', 'Airplanes', 'Zeppelins', 'Jeeps']","['Airplanes', 'Bicycles']","['Airplanes', 'Zeppelins']",Jeeps,Jeeps,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Airplanes have property P.\nFact - Bicycles have property P.\nClaim - Jeeps have property P.\n\nArgument B:\nFact - Airplanes have property P.\nFact - Zeppelins have property P.\nClaim - Jeeps have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
1,experiment_1_chatprompt,"['Airplanes', 'Boats', 'Skateboards', 'All vehicles', 'Airplanes', 'Boats', 'All vehicles']","['Airplanes', 'Boats', 'Skateboards']","['Airplanes', 'Boats']",All vehicles,All vehicles,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Airplanes have property P.\nFact - Boats have property P.\nFact - Skateboards have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Airplanes have property P.\nFact - Boats have property P.\nClaim - All vehicles have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
2,experiment_1_chatprompt,"['Airplanes', 'Caravans', 'All vehicles', 'Airplanes', 'Rockets', 'All vehicles']","['Airplanes', 'Caravans']","['Airplanes', 'Rockets']",All vehicles,All vehicles,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Airplanes have property P.\nFact - Caravans have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Airplanes have property P.\nFact - Rockets have property P.\nClaim - All vehicles have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
3,experiment_1_chatprompt,"['Airplanes', 'Caravans', 'Carts', 'Rockets', 'Airplanes', 'Caravans', 'Rockets']","['Airplanes', 'Caravans', 'Carts']","['Airplanes', 'Caravans']",Rockets,Rockets,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Airplanes have property P.\nFact - Caravans have property P.\nFact - Carts have property P.\nClaim - Rockets have property P.\n\nArgument B:\nFact - Airplanes have property P.\nFact - Caravans have property P.\nClaim - Rockets have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
4,experiment_1_chatprompt,"['Airplanes', 'Rockets', 'All vehicles', 'Airplanes', 'Rockets', 'All things']","['Airplanes', 'Rockets']","['Airplanes', 'Rockets']",All vehicles,All things,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Airplanes have property P.\nFact - Rockets have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Airplanes have property P.\nFact - Rockets have property P.\nClaim - All things have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
5,experiment_1_chatprompt,"['Airplanes', 'Trucks', 'Airplanes', 'Ropes', 'Trucks']",['Airplanes'],"['Airplanes', 'Ropes']",Trucks,Trucks,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Airplanes have property P.\nClaim - Trucks have property P.\n\nArgument B:\nFact - Airplanes have property P.\nFact - Ropes have property P.\nClaim - Trucks have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
6,experiment_1_chatprompt,"['Airplanes', 'Vans', 'Carriages', 'Helicopters', 'Airplanes', 'Vans', 'Helicopters']","['Airplanes', 'Vans', 'Carriages']","['Airplanes', 'Vans']",Helicopters,Helicopters,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Airplanes have property P.\nFact - Vans have property P.\nFact - Carriages have property P.\nClaim - Helicopters have property P.\n\nArgument B:\nFact - Airplanes have property P.\nFact - Vans have property P.\nClaim - Helicopters have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
7,experiment_1_chatprompt,"['Bats', 'Elephants', 'Bats', 'Pythons', 'Elephants']",['Bats'],"['Bats', 'Pythons']",Elephants,Elephants,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bats have property P.\nClaim - Elephants have property P.\n\nArgument B:\nFact - Bats have property P.\nFact - Pythons have property P.\nClaim - Elephants have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
8,experiment_1_chatprompt,"['Bats', 'Mice', 'Bats', 'Toads', 'Mice']",['Bats'],"['Bats', 'Toads']",Mice,Mice,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bats have property P.\nClaim - Mice have property P.\n\nArgument B:\nFact - Bats have property P.\nFact - Toads have property P.\nClaim - Mice have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
9,experiment_1_chatprompt,"['Bats', 'Rhinos', 'Bats', 'Chameleons', 'Rhinos']",['Bats'],"['Bats', 'Chameleons']",Rhinos,Rhinos,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bats have property P.\nClaim - Rhinos have property P.\n\nArgument B:\nFact - Bats have property P.\nFact - Chameleons have property P.\nClaim - Rhinos have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
