,prompt_type,valid_prompt_completions,argpair_id,p1,p2,c1,c2,domain,prompt,arg2_is_stronger
0,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Bicycles', 'Jeeps', 'Airplanes', 'Zeppelins', 'Jeeps']","['Airplanes', 'Bicycles']","['Airplanes', 'Zeppelins']",Jeeps,Jeeps,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Bicycles have property P.
Claim - Jeeps have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Zeppelins have property P.
Claim - Jeeps have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",False
1,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Boats', 'Skateboards', 'All vehicles', 'Airplanes', 'Boats', 'All vehicles']","['Airplanes', 'Boats']","['Airplanes', 'Boats', 'Skateboards']",All vehicles,All vehicles,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Boats have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Boats have property P.
Fact - Skateboards have property P.
Claim - All vehicles have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True
2,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans', 'All vehicles', 'Airplanes', 'Rockets', 'All vehicles']","['Airplanes', 'Caravans']","['Airplanes', 'Rockets']",All vehicles,All vehicles,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",False
3,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans', 'Carts', 'Rockets', 'Airplanes', 'Caravans', 'Rockets']","['Airplanes', 'Caravans']","['Airplanes', 'Caravans', 'Carts']",Rockets,Rockets,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - Rockets have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Fact - Carts have property P.
Claim - Rockets have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True
4,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Rockets', 'All vehicles', 'Airplanes', 'Rockets', 'All things']","['Airplanes', 'Rockets']","['Airplanes', 'Rockets']",All things,All vehicles,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All things have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True
5,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Trucks', 'Airplanes', 'Ropes', 'Trucks']","['Airplanes', 'Ropes']",['Airplanes'],Trucks,Trucks,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Ropes have property P.
Claim - Trucks have property P.

Argument B:
Fact - Airplanes have property P.
Claim - Trucks have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True
6,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Vans', 'Carriages', 'Helicopters', 'Airplanes', 'Vans', 'Helicopters']","['Airplanes', 'Vans']","['Airplanes', 'Vans', 'Carriages']",Helicopters,Helicopters,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Vans have property P.
Claim - Helicopters have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Vans have property P.
Fact - Carriages have property P.
Claim - Helicopters have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True
7,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Elephants', 'Bats', 'Pythons', 'Elephants']",['Bats'],"['Bats', 'Pythons']",Elephants,Elephants,Mammals,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Bats have property P.
Claim - Elephants have property P.

Argument B:
Fact - Bats have property P.
Fact - Pythons have property P.
Claim - Elephants have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",False
8,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Mice', 'Bats', 'Toads', 'Mice']","['Bats', 'Toads']",['Bats'],Mice,Mice,Mammals,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Bats have property P.
Fact - Toads have property P.
Claim - Mice have property P.

Argument B:
Fact - Bats have property P.
Claim - Mice have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True
9,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Rhinos', 'Bats', 'Chameleons', 'Rhinos']",['Bats'],"['Bats', 'Chameleons']",Rhinos,Rhinos,Mammals,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Bats have property P.
Claim - Rhinos have property P.

Argument B:
Fact - Bats have property P.
Fact - Chameleons have property P.
Claim - Rhinos have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",False
