,argument,domain,conclusion_type,is_single_premise,prompt_generator,prompt,model,completion_logprobs,strength_rating,strength_ranking
0,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Fact - Buses have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 70': -0.7318151, ' 60': -1.6158885, ' 50': -1.8880022, ' 80': -2.7992837, ' 40': -3.1518037}",63.913538378311955,44.0
1,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Fact - Helicopters have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 40': -0.96065557, ' 50': -1.5868764, ' 20': -1.9455342, ' 30': -2.1558917, ' 60': -3.1234705}",38.77461362320022,95.0
2,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Fact - Taxis have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 70': -0.7717864, ' 60': -1.5981739, ' 50': -1.9310442, ' 80': -2.5790603, ' 75': -3.2101293}",65.71933320291585,40.0
3,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 60

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Fact - Trams have property P.
Claim - Trains have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.1844943, ' 95': -1.8470786, ' 80': -5.054627, ' 85': -6.4093432, ' 100': -6.7574196}",90.72923974067945,13.0
4,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Fact - Zeppelins have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 40': -1.2692331, ' 20': -1.3954481, ' 30': -1.961038, ' 50': -2.2675507, ' 10': -2.2702496}",30.386648999432783,101.0
5,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Papayas have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Argument A:
Fact - Apples have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 75

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Claim - All vehicles have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 50': -0.58514905, ' 25': -1.5932114, ' 40': -2.8400488, ' 75': -2.859088, ' 60': -3.547944}",45.63985095398367,18.0
6,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Claim - Bicycles have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 50': -1.329647, ' 40': -1.5029451, ' 25': -1.999052, ' 20': -2.1386433, ' 70': -2.3762627}",41.253418972117736,138.0
7,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Claim - Helicopters have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.32098633, ' 95': -1.7347684, ' 100': -2.3916326, ' 99': -5.8396244, ' 80': -6.7377477}",91.81597499359236,19.0
8,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Claim - Jeeps have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 80': -0.5694789, ' 90': -1.1747265, ' 75': -2.5730875, ' 70': -3.8112543, ' 85': -4.2313075}",82.59092705350538,70.0
9,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Airplanes have property P.
Claim - Skateboards have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 50': -1.4762642, ' 40': -1.6281731, ' 70': -2.0546753, ' 20': -2.1411011, ' 25': -2.2575238}",42.85051872532385,136.0
