,gpt3_model,prompt_type,valid_prompt_completions,p1,p2,c1,c2,domain,prompt,arg2_is_stronger,argpair_id,gpt3_completion,gpt3_completion_probabilities,gpt3_argument_pair_rating
0,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Bicycles']","['Airplanes', 'Zeppelins']",Jeeps,Jeeps,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Bicycles have property P.
Claim - Jeeps have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Zeppelins have property P.
Claim - Jeeps have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Bicycles', 'Jeeps', 'Airplanes', 'Zeppelins', 'Jeeps']","{
  ""finish_reason"": ""length"",
  ""index"": 0,
  ""logprobs"": {
    ""text_offset"": [
      1385
    ],
    ""token_logprobs"": [
      -0.44498596
    ],
    ""tokens"": [
      "" B""
    ],
    ""top_logprobs"": [
      {
        "" A"": -2.8096864,
        "" B"": -0.44498596,
        "" C"": -3.2111084,
        "" D"": -3.6465545,
        "" E"": -1.633205
      }
    ]
  },
  ""text"": "" B""
}","[0.06022387563872607, 0.6408332732683147, 0.040311906782793776, 0.026080835666757812, 0.19530262506437493, 0]",1.5809100940916756
1,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Boats']","['Airplanes', 'Boats', 'Skateboards']",All vehicles,All vehicles,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Boats have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Boats have property P.
Fact - Skateboards have property P.
Claim - All vehicles have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Boats', 'Skateboards', 'All vehicles', 'Airplanes', 'Boats', 'All vehicles']","{
  ""finish_reason"": ""length"",
  ""index"": 1,
  ""logprobs"": {
    ""text_offset"": [
      1428
    ],
    ""token_logprobs"": [
      -0.50067204
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        ""\n"": -3.2713742,
        "" "": -3.1871724,
        "" E"": -0.50067204,
        "" F"": -1.4098917,
        "" Option"": -3.5261807
      }
    ]
  },
  ""text"": "" E""
}","[0, 0, 0, 0, 0.6061231837834778, 0.24416972530281916]",3.6453413616480073
2,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans']","['Airplanes', 'Rockets']",All vehicles,All vehicles,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - All vehicles have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Caravans', 'All vehicles', 'Airplanes', 'Rockets', 'All vehicles']","{
  ""finish_reason"": ""length"",
  ""index"": 2,
  ""logprobs"": {
    ""text_offset"": [
      1397
    ],
    ""token_logprobs"": [
      -0.5820641
    ],
    ""tokens"": [
      "" B""
    ],
    ""top_logprobs"": [
      {
        "" A"": -3.0371401,
        "" B"": -0.5820641,
        "" C"": -2.80094,
        "" D"": -3.3058589,
        "" E"": -1.4952455
      }
    ]
  },
  ""text"": "" B""
}","[0.04797188830273269, 0.5587438722527241, 0.060752928023819916, 0.036667704416138834, 0.22419355845528074, 0]",1.6870270753699035
3,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Caravans']","['Airplanes', 'Caravans', 'Carts']",Rockets,Rockets,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Claim - Rockets have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Caravans have property P.
Fact - Carts have property P.
Claim - Rockets have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Caravans', 'Carts', 'Rockets', 'Airplanes', 'Caravans', 'Rockets']","{
  ""finish_reason"": ""length"",
  ""index"": 3,
  ""logprobs"": {
    ""text_offset"": [
      1418
    ],
    ""token_logprobs"": [
      -0.46802953
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        ""\n"": -3.4123766,
        "" B"": -2.224419,
        "" D"": -3.4203534,
        "" E"": -0.46802953,
        "" F"": -2.0468621
      }
    ]
  },
  ""text"": "" E""
}","[0, 0.10813022404826197, 0, 0.03270087640702526, 0.6262350306640527, 0.1291394952939483]",3.3568704523952904
4,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Rockets']","['Airplanes', 'Rockets']",All things,All vehicles,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All things have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Rockets have property P.
Claim - All vehicles have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Rockets', 'All vehicles', 'Airplanes', 'Rockets', 'All things']","{
  ""finish_reason"": ""length"",
  ""index"": 4,
  ""logprobs"": {
    ""text_offset"": [
      1394
    ],
    ""token_logprobs"": [
      -0.6603747
    ],
    ""tokens"": [
      "" B""
    ],
    ""top_logprobs"": [
      {
        "" B"": -0.6603747,
        "" C"": -1.9910517,
        "" D"": -2.240638,
        "" E"": -1.8048698,
        "" F"": -3.2543132
      }
    ]
  },
  ""text"": "" B""
}","[0, 0.5166577065751208, 0.1365517384376399, 0.10639060551549953, 0.1644958725455505, 0.038607327072264545]",1.9599531255404241
5,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Ropes']",['Airplanes'],Trucks,Trucks,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Ropes have property P.
Claim - Trucks have property P.

Argument B:
Fact - Airplanes have property P.
Claim - Trucks have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Trucks', 'Airplanes', 'Ropes', 'Trucks']","{
  ""finish_reason"": ""length"",
  ""index"": 5,
  ""logprobs"": {
    ""text_offset"": [
      1350
    ],
    ""token_logprobs"": [
      -0.7371933
    ],
    ""tokens"": [
      "" B""
    ],
    ""top_logprobs"": [
      {
        "" B"": -0.7371933,
        "" C"": -2.007516,
        "" D"": -1.8389884,
        "" E"": -1.8405926,
        "" F"": -3.2144423
      }
    ]
  },
  ""text"": "" B""
}","[0, 0.47845491215503805, 0.13432191625137904, 0.15897816710425924, 0.15872333878103784, 0.040177734699201]",2.05981527459073
6,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Vans']","['Airplanes', 'Vans', 'Carriages']",Helicopters,Helicopters,Vehicles,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Airplanes have property P.
Fact - Vans have property P.
Claim - Helicopters have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Vans have property P.
Fact - Carriages have property P.
Claim - Helicopters have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Vans', 'Carriages', 'Helicopters', 'Airplanes', 'Vans', 'Helicopters']","{
  ""finish_reason"": ""length"",
  ""index"": 6,
  ""logprobs"": {
    ""text_offset"": [
      1422
    ],
    ""token_logprobs"": [
      -0.4435749
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        ""\n"": -2.9827461,
        "" "": -3.3258457,
        "" B"": -2.09548,
        "" E"": -0.4435749,
        "" F"": -2.3169765
      }
    ]
  },
  ""text"": "" E""
}","[0, 0.12301118411243776, 0, 0, 0.6417381657455387, 0.0985711654300427]",3.182819674244806
7,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']",['Bats'],"['Bats', 'Pythons']",Elephants,Elephants,Mammals,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Bats have property P.
Claim - Elephants have property P.

Argument B:
Fact - Bats have property P.
Fact - Pythons have property P.
Claim - Elephants have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",False,"['Bats', 'Elephants', 'Bats', 'Pythons', 'Elephants']","{
  ""finish_reason"": ""length"",
  ""index"": 7,
  ""logprobs"": {
    ""text_offset"": [
      1354
    ],
    ""token_logprobs"": [
      -0.98433995
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        "" B"": -1.0744374,
        "" C"": -3.3578768,
        "" D"": -2.005214,
        "" E"": -0.98433995,
        "" F"": -2.5903676
      }
    ]
  },
  ""text"": "" E""
}","[0, 0.3414898234418279, 0.03480908719486568, 0.13463148147545853, 0.3736857968636888, 0.07499246778669057]",2.684707968646143
8,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Toads']",['Bats'],Mice,Mice,Mammals,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Bats have property P.
Fact - Toads have property P.
Claim - Mice have property P.

Argument B:
Fact - Bats have property P.
Claim - Mice have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",True,"['Bats', 'Mice', 'Bats', 'Toads', 'Mice']","{
  ""finish_reason"": ""length"",
  ""index"": 8,
  ""logprobs"": {
    ""text_offset"": [
      1342
    ],
    ""token_logprobs"": [
      -0.23694131
    ],
    ""tokens"": [
      "" B""
    ],
    ""top_logprobs"": [
      {
        "" A"": -3.0725675,
        "" B"": -0.23694131,
        "" C"": -3.065196,
        "" D"": -3.3858857,
        "" E"": -2.7306736
      }
    ]
  },
  ""text"": "" B""
}","[0.04630212141690368, 0.7890375952751767, 0.046644698607534646, 0.033847650201830295, 0.06517537274748651, 0]",1.2445714340856828
9,text-davinci-003,S3-C1-A1-Q3-O1,"['A', 'B', 'C', 'D', 'E', 'F']",['Bats'],"['Bats', 'Chameleons']",Rhinos,Rhinos,Mammals,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We are interested in how people evaluate arguments. On each trial there will be two arguments labeled 'A' and 'B.' Each will contain one, two, or three statements separated from a claim by a line. Assume that the statements above the line are facts, and choose the argument whose facts provide a better reason for believing the claim. These are subjective judgments; there are no right or wrong answers.

Argument A:
Fact - Bats have property P.
Claim - Rhinos have property P.

Argument B:
Fact - Bats have property P.
Fact - Chameleons have property P.
Claim - Rhinos have property P.

Question: Assuming all the facts given are true, which argument makes a stronger case for the claim? To get the best answer, first write down your reasoning. Then, based on this, indicate your preference by providing one of the following options:
A - Argument A is much more likely
B - Argument A is more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is more likely
F - Argument B is much more likely
Answer:",False,"['Bats', 'Rhinos', 'Bats', 'Chameleons', 'Rhinos']","{
  ""finish_reason"": ""length"",
  ""index"": 9,
  ""logprobs"": {
    ""text_offset"": [
      1351
    ],
    ""token_logprobs"": [
      -0.5371556
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        ""\n"": -3.8021586,
        "" B"": -1.6957345,
        "" D"": -2.2947545,
        "" E"": -0.5371556,
        "" F"": -2.9301515
      }
    ]
  },
  ""text"": "" E""
}","[0, 0.18346442490687087, 0, 0.10078613322705679, 0.5844081811345725, 0.053388949106678234]",3.090400294659722
