,domain,conclusion_type,is_single_premise,messages
0,Mammals,General,True,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '40'}]"
1,Birds,General,True,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '40'}]"
2,Vehicles,General,True,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '40'}]"
3,Mammals,General,False,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}]"
4,Birds,General,False,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}]"
5,Vehicles,General,False,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '60'}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '65'}]"
6,Mammals,Specific,True,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Blackberries have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given that blackberries and raspberries are both closely related fruits, I would say there is a high likelihood that they share property P. I would estimate the likelihood at 85.'}, {'role': 'user', 'content': 'Argument A:\nFact - Pineapples have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Pineapples and raspberries are both fruits, but they are not as closely related as blackberries and raspberries. Given this information, I would estimate the likelihood that they share property P to be lower than in the previous example. I would estimate the likelihood at 60.'}]"
7,Birds,Specific,True,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Blackberries have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given that blackberries and raspberries are both closely related fruits, I would say there is a high likelihood that they share property P. I would estimate the likelihood at 85.'}, {'role': 'user', 'content': 'Argument A:\nFact - Pineapples have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Pineapples and raspberries are both fruits, but they are not as closely related as blackberries and raspberries. Given this information, I would estimate the likelihood that they share property P to be lower than in the previous example. I would estimate the likelihood at 60.'}]"
8,Vehicles,Specific,True,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Blackberries have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given that blackberries and raspberries are both berries and share many similarities, I would say there is a 75% likelihood that the claim is true.'}, {'role': 'user', 'content': 'Argument A:\nFact - Pineapples have property P.\nClaim - Raspberries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given that pineapples and raspberries are both fruits but have different structures and characteristics, I would say there is a 50% likelihood that the claim is true.'}]"
9,Mammals,Specific,False,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include two supporting facts. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Lemons have property P.\nFact - Limes have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': ""Given that both lemons and limes have property P, and considering that cherries are also a type of fruit, I would estimate the likelihood of cherries having property P to be around 75. This is because the facts provided suggest a pattern among fruits, but it's not certain that all fruits share this property.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bananas have property P.\nFact - Watermelons have property P.\nClaim - Cherries have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': ""Given that both bananas and watermelons have property P, and considering that cherries are also a type of fruit, I would estimate the likelihood of cherries having property P to be around 80. This is because the facts provided suggest a pattern among fruits, but it's not certain that all fruits share this property.""}]"
