,i,domain,gpt_version,spearmanr,pval
0,0,Birds,GPT-3,0.453290463284938,2.5245787798398776e-29
1,0,Birds,GPT-3 Embeddings,0.15272351084821173,0.0003167480616369635
2,0,Birds,GPT-4,0.7172315969321904,2.492261670476404e-88
3,0,Clothing,GPT-3,0.5289758180442553,9.874810906451796e-56
4,0,Clothing,GPT-3 Embeddings,0.34087532124097064,5.040234019666797e-22
5,0,Clothing,GPT-4,0.6637516821048035,3.4802551358970446e-97
6,0,Fish,GPT-3,0.6176939473103611,1.6473807359059067e-40
7,0,Fish,GPT-3 Embeddings,-0.13442478306388678,0.009438272547571052
8,0,Fish,GPT-4,0.7401136312133455,9.752010210209724e-66
9,0,Fruit,GPT-3,0.49539788972867316,4.586737284826775e-48
10,0,Fruit,GPT-3 Embeddings,0.24371228488478497,1.1015280691937806e-11
11,0,Fruit,GPT-4,0.6588455499641688,2.7099873325704325e-95
12,0,Insects,GPT-3,0.5617374352049495,3.1586158723700273e-47
13,0,Insects,GPT-3 Embeddings,0.4209757275312357,4.0426678247404286e-25
14,0,Insects,GPT-4,0.6225058631311007,1.5406947441633035e-60
15,0,KitchenUtensils,GPT-3,0.5747165468235567,1.474983210097393e-72
16,0,KitchenUtensils,GPT-3 Embeddings,0.45263000320582597,2.92649647828007e-42
17,0,KitchenUtensils,GPT-4,0.7149170318824232,5.304248209490848e-128
18,0,Mammals,GPT-3,0.6847775180432237,4.3006441424234284e-80
19,0,Mammals,GPT-3 Embeddings,0.6285975301016473,5.2008496372347854e-64
20,0,Mammals,GPT-4,0.7114690460699891,4.3967658848598105e-89
21,0,MusicalInstruments,GPT-3,0.5415976248805664,1.427339971038888e-36
22,0,MusicalInstruments,GPT-3 Embeddings,0.27170600976451637,2.914963822532405e-09
23,0,MusicalInstruments,GPT-4,0.6835744762965066,6.7663959988038095e-65
24,0,Professions,GPT-3,0.5570752502130538,1.8021894226489367e-58
25,0,Professions,GPT-3 Embeddings,0.38087639593874356,1.177980117210834e-25
26,0,Professions,GPT-4,0.6793344137707671,3.6540379835786404e-96
27,0,Reptiles,GPT-3,0.4574991250223825,9.144064214653793e-14
28,0,Reptiles,GPT-3 Embeddings,0.589714906536969,8.853441763663723e-24
29,0,Reptiles,GPT-4,0.42154900874359913,1.0282219933103554e-11
30,0,Sports,GPT-3,0.5536159309809955,1.7507737599555165e-49
31,0,Sports,GPT-3 Embeddings,0.2121947825391222,1.548357929437794e-07
32,0,Sports,GPT-4,0.6761272979590532,2.2503283885470985e-81
33,0,Tools,GPT-3,0.3621381433467033,1.8437612344858006e-14
34,0,Tools,GPT-3 Embeddings,0.21387111678290227,9.813128583561644e-06
35,0,Tools,GPT-4,0.6869330663458288,6.37754636161054e-60
36,0,Vegetables,GPT-3,0.3893296458024308,3.751102353823138e-23
37,0,Vegetables,GPT-3 Embeddings,0.1450031890678545,0.0003662488218931989
38,0,Vegetables,GPT-4,0.47255894389053277,1.0476330936881125e-34
